UserID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
47,1989,Female,"under $25,000",Single (no kids),High School Diploma,Independent,,Yes,No,Yes,No,Yes,Public,No,Yes,No,No,Yes,Yes,No,Art,Study first,Yes,Yes,,Yes,Receiving,No,No,,,No,,Standard hours,No,,No,Yes,No,No,A.M.,Yes,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,No,TMI,No,Yes,Tunes,Technology,No,No,No,No,No,Demanding,No,PC,Yes,Cautious,Yes,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Rent,Optimist,Mom,No,No,Yes,Yes,Nope,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,95
54,1979,Male,"$100,001 - $150,000",Married (w/kids),Doctoral Degree,Independent,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,Yes,Yes,Yes,Yes,Yes,Science,Try first,No,No,Yes,No,Giving,Yes,No,Idealist,Yes,Yes,Hot headed,Standard hours,No,Happy,No,Yes,Yes,Yes,P.M.,Yes,End,Yes,Yes,Me,Yes,No,Yes,No,No,Mysterious,Yes,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,Yes,Mac,Yes,Risk-friendly,No,Umm...,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Own,Pessimist,Mom,Yes,Yes,Yes,No,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,101
55,1983,Female,,Single (no kids),,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,Start,No,Yes,Me,No,,,Yes,,,,,,,,,,,Yes,Demanding,No,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
60,1997,Male,"$100,001 - $150,000",Single (no kids),Current K-12,Republican,,Yes,No,No,Yes,Yes,Private,Yes,Yes,No,,Yes,Yes,,,,Yes,,No,,Giving,,Yes,,,Yes,,Odd hours,,Happy,Yes,No,No,Yes,P.M.,,End,Yes,Yes,,Yes,,No,,Yes,,No,,,Technology,Yes,,,,Yes,Supportive,,,No,,No,Yes!,No,Socialize,Yes,Online,No,,Yes,Yes,Grrr people,Yes,No,Yes,,,Yes,,Yes,,No,No,No,Own,,,Yes,,Yes,Yes,,Yes,No,Yes,Yes,,No,Yes,,Yes,Yes,65
68,1986,Male,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,,No,Yes,No,Yes,Yes,Yes,Public,Yes,Yes,No,,No,No,,,Study first,Yes,Yes,No,No,Receiving,No,No,,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,No,,No,,,,Circumstances,Yes,Yes,No,Yes,No,Mysterious,No,,Tunes,Technology,,,,Yes,No,Demanding,Yes,Mac,No,Cautious,No,Umm...,,Socialize,Yes,In-person,No,Yes,Yes,No,Grrr people,Yes,,,Yes,No,Yes,No,No,No,No,Yes,No,Own,,,Yes,No,No,No,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,84
79,1973,Female,"$75,000 - $100,000",Single (no kids),Master's Degree,Democrat,,No,No,Yes,No,Yes,Public,Yes,Yes,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,No,Yes,No,Yes,A.M.,Yes,End,Yes,No,Circumstances,No,No,No,Yes,No,Mysterious,No,No,Tunes,People,,Yes,,No,Yes,Supportive,Yes,PC,Yes,Risk-friendly,No,Umm...,No,Space,Yes,In-person,Yes,No,Yes,No,Grrr people,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Own,Optimist,Dad,No,Yes,No,Yes,Nope,Yes,Yes,No,Yes,No,,Yes,Yes,No,No,97
90,1975,Male,"$75,000 - $100,000",Married (w/kids),High School Diploma,Republican,,Yes,No,Yes,No,No,Public,Yes,Yes,No,,,No,,,Try first,No,Yes,Yes,No,Giving,No,Yes,Idealist,Yes,Yes,Hot headed,Odd hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,End,Yes,Yes,Me,Yes,Yes,Yes,Yes,No,TMI,Yes,No,Talk,People,Yes,No,Yes,Yes,No,Demanding,No,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Own,Optimist,Dad,No,No,Yes,Yes,Nope,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,96
93,1995,Male,"under $25,000",Single (no kids),Current Undergraduate,Democrat,No,,,,,Yes,Private,,Yes,No,Yes,Yes,,,Art,Study first,Yes,Yes,Yes,,,,Yes,,No,,,Odd hours,Yes,Happy,,Yes,,No,,,,Yes,No,Me,No,Yes,No,Yes,No,TMI,,,,,Yes,,,No,No,Supportive,No,Mac,No,Cautious,Yes,Yes!,No,Socialize,Yes,,No,No,Yes,,,No,,,,,Yes,Yes,No,No,,,No,,Optimist,,No,Yes,Yes,Yes,,,No,No,,,Yes,Yes,No,Yes,No,62
98,1998,Female,,Single (no kids),Current K-12,Republican,,,,,,,,,,,,,,,,,,,,,,,No,,No,No,,,No,Happy,,No,No,No,P.M.,Yes,,,No,Circumstances,No,Yes,,,No,Mysterious,No,,Tunes,Technology,,No,,No,,,,Mac,,,Yes,Yes!,No,,Yes,Online,,,,,,No,No,,No,,No,,No,,No,No,No,,,,,,,,,,,,,,,,,,,35
101,1960,Male,"$50,000 - $74,999",Single (w/kids),,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,,,,,,No,No,Yes,Yes,,,,PC,Yes,,No,,No,,,,,,Yes,Yes,Yay people!,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Own,Optimist,Dad,Yes,Yes,No,Yes,,,No,No,Yes,Yes,No,Yes,No,No,Yes,41
107,1944,Female,"over $150,000",Married (w/kids),Bachelor's Degree,Republican,No,No,No,No,Yes,Yes,Public,No,Yes,No,No,Yes,No,Yes,Art,Try first,Yes,No,Yes,Yes,Giving,Yes,No,Pragmatist,No,No,Cool headed,,Yes,,No,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Me,No,No,No,Yes,No,TMI,Yes,No,Talk,Technology,No,No,Yes,No,No,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Space,,Online,Yes,No,Yes,No,Yay people!,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,No,Own,Optimist,Dad,No,Yes,No,Yes,Check!,Yes,No,No,Yes,Yes,,Yes,No,No,Yes,95
109,1985,Male,"$25,001 - $50,000",Married (no kids),Bachelor's Degree,Other,No,No,No,Yes,No,No,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Study first,Yes,No,No,Yes,Giving,Yes,No,Idealist,Yes,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,A.M.,Yes,Start,No,Yes,Me,Yes,No,Yes,Yes,No,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,Yes,Yes!,Yes,Socialize,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Rent,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,Yes,No,No,No,No,No,Only-child,No,No,No,101
113,1976,Male,"under $25,000",Single (no kids),High School Diploma,Libertarian,,,No,Yes,Yes,Yes,Public,No,,,,,,,,,Yes,No,Yes,Yes,Giving,No,,Pragmatist,No,No,,,,,,,Yes,No,P.M.,Yes,End,Yes,Yes,Me,No,Yes,Yes,Yes,No,Mysterious,Yes,No,Tunes,Technology,,Yes,Yes,,Yes,Demanding,No,PC,Yes,Risk-friendly,No,,,,,Online,Yes,,,,,,,,,,,,,,Yes,No,Yes,,Optimist,Dad,,,,,,,,,,,No,Yes,No,No,,53
116,1979,Female,,Single (no kids),Doctoral Degree,Democrat,No,No,No,Yes,No,No,Private,Yes,Yes,No,No,Yes,Yes,Yes,,Study first,Yes,No,Yes,Yes,Giving,Yes,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,Yes,No,A.M.,Yes,Start,Yes,No,Me,Yes,Yes,No,Yes,No,Mysterious,Yes,No,Tunes,Technology,No,No,Yes,No,Yes,Supportive,No,PC,Yes,Cautious,Yes,Yes!,No,Socialize,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Rent,Optimist,Mom,No,No,Yes,Yes,Check!,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,99
118,1981,Female,"$75,000 - $100,000",Domestic Partners (w/kids),Bachelor's Degree,Democrat,Yes,Yes,No,No,No,No,Public,Yes,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,No,No,Giving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Odd hours,No,Right,Yes,Yes,No,No,P.M.,Yes,End,No,No,Me,No,No,No,Yes,No,TMI,No,No,Tunes,People,No,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,No,No,Yes,No,Grrr people,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Own,Optimist,Dad,No,No,Yes,No,Check!,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,101
119,1993,Female,"$75,000 - $100,000",Single (no kids),Current Undergraduate,Democrat,No,Yes,Yes,No,No,Yes,Public,No,No,No,No,No,No,Yes,Art,Try first,Yes,No,No,No,Giving,No,Yes,Pragmatist,No,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,No,End,Yes,No,Circumstances,No,No,Yes,Yes,Yes,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Own,Optimist,Mom,No,No,Yes,Yes,Nope,Yes,No,No,No,Yes,No,Yes,No,No,No,101
120,1965,Male,"$75,000 - $100,000",Domestic Partners (no kids),Master's Degree,Democrat,No,Yes,No,No,Yes,Yes,Public,No,Yes,No,Yes,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,Yes,Giving,No,Yes,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,Yes,No,A.M.,No,Start,Yes,No,Circumstances,No,No,Yes,No,No,Mysterious,Yes,Yes,Tunes,Technology,No,Yes,,Yes,Yes,Demanding,Yes,PC,Yes,Cautious,Yes,Umm...,No,Space,Yes,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Own,Optimist,,Yes,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,99
126,1990,Male,"under $25,000",Single (no kids),,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.M.,No,End,Yes,Yes,Me,,,,,,,,,,,,,,No,No,,,PC,,,,,,,,,,,,Yes,Grrr people,,,,,,,,,,,,Yes,,,,,No,Yes,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,No,No,26
131,1975,Female,"$50,000 - $74,999",Single (no kids),,Democrat,,No,,Yes,,No,,No,Yes,No,Yes,Yes,Yes,,,,,,Yes,No,,No,No,,No,No,Cool headed,Standard hours,Yes,,,Yes,Yes,,A.M.,,,,No,,No,,Yes,Yes,,,No,,Tunes,People,,,Yes,,No,Supportive,No,,,,,Yes!,Yes,,No,In-person,No,Yes,Yes,Yes,,,No,,Yes,,Yes,Yes,No,,Yes,Yes,,Own,Optimist,,,No,,Yes,,Yes,No,No,Yes,Yes,,Yes,,,Yes,58
134,1994,Female,,Single (no kids),Current Undergraduate,Republican,No,No,,No,No,Yes,Private,Yes,Yes,Yes,Yes,Yes,No,Yes,,Study first,No,,,Yes,Giving,Yes,Yes,,No,No,Cool headed,Standard hours,No,,,Yes,No,,,,,Yes,No,,No,,No,Yes,No,Mysterious,No,,Tunes,People,Yes,No,Yes,,Yes,Supportive,No,Mac,,Cautious,,Yes!,No,Space,No,In-person,,Yes,Yes,Yes,Yay people!,No,No,,No,No,Yes,Yes,No,No,No,No,Yes,Rent,Optimist,Dad,Yes,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,Yes,,81
135,1961,Male,,Married (w/kids),,Independent,No,No,No,Yes,,Yes,Public,No,Yes,No,No,Yes,No,Yes,Science,Try first,,,No,,Giving,,,,,,,,Yes,Right,No,Yes,,,,,,,,,No,Yes,Yes,Yes,No,TMI,,,Tunes,Technology,Yes,No,,No,Yes,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,Yes,Online,Yes,Yes,,Yes,Yay people!,Yes,Yes,No,,,No,No,Yes,No,Yes,No,Yes,Own,Optimist,Dad,Yes,Yes,Yes,Yes,Nope,,No,No,Yes,,,,,,Yes,70
137,1952,Female,"over $150,000",Married (no kids),Bachelor's Degree,Republican,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,No,No,Yes,No,Yes,Science,Study first,Yes,Yes,No,Yes,Receiving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,Yes,End,Yes,No,Circumstances,No,Yes,Yes,No,No,TMI,No,No,Talk,Technology,No,Yes,No,No,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Own,Pessimist,Mom,Yes,Yes,No,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,101
139,1996,Male,"over $150,000",Single (no kids),Current K-12,Libertarian,No,No,No,No,No,Yes,Public,Yes,No,No,No,No,Yes,Yes,Science,Try first,Yes,Yes,No,No,Receiving,Yes,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,Yes,No,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,Yes,No,No,Mysterious,No,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Own,Pessimist,Dad,No,No,Yes,Yes,Nope,No,No,No,Yes,Yes,Yes,Yes,No,No,No,101
140,1986,Male,"under $25,000",Single (no kids),High School Diploma,Democrat,,,,,,,,,,,,,,,,,Yes,No,Yes,No,Giving,,,,,,Cool headed,Odd hours,Yes,Happy,Yes,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,No,,TMI,Yes,No,Talk,People,,,,,,,No,Mac,,Risk-friendly,,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,No,Yay people!,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,71
141,1971,Male,"$100,001 - $150,000",Married (w/kids),Master's Degree,Independent,No,No,No,Yes,No,No,Public,No,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,No,No,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,No,Yes,No,P.M.,Yes,Start,Yes,Yes,Me,No,No,Yes,Yes,Yes,Mysterious,No,No,Talk,Technology,Yes,Yes,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Rent,Optimist,Dad,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,101
142,1996,Male,"$50,000 - $74,999",Single (no kids),Current K-12,Independent,,,,,,,,,Yes,No,,,,,,,,,,,,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,Yes,Start,No,Yes,Me,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,Yes,Yes,No,No,Supportive,Yes,PC,Yes,Cautious,No,Yes!,Yes,Space,No,In-person,No,No,No,No,Grrr people,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Own,Pessimist,Dad,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,82
152,1977,Female,"over $150,000",Married (w/kids),,Republican,,,,,,,,,,,,,,,,,,,No,,Giving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,,,,,Yes,End,Yes,No,Circumstances,No,No,Yes,Yes,No,Mysterious,No,No,,,,No,Yes,No,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,No,No,Yes,,Yes,No,No,Yes,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,74
162,1963,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican,No,Yes,No,Yes,No,No,Public,No,Yes,No,No,No,No,Yes,Science,Study first,Yes,No,No,No,Giving,Yes,Yes,Pragmatist,Yes,Yes,Cool headed,Standard hours,Yes,Happy,No,Yes,Yes,No,P.M.,Yes,Start,Yes,Yes,Me,Yes,Yes,Yes,Yes,No,Mysterious,Yes,Yes,Talk,Technology,Yes,No,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Space,No,In-person,Yes,Yes,Yes,No,Yay people!,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Own,Optimist,Dad,Yes,No,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
164,1994,Female,,Single (no kids),,Republican,No,No,No,No,Yes,Yes,Public,,No,No,,,,,,,,,Yes,Yes,Giving,Yes,Yes,,No,No,Hot headed,Odd hours,No,Happy,No,Yes,Yes,Yes,P.M.,,End,Yes,No,,Yes,No,Yes,,No,Mysterious,No,No,Tunes,People,Yes,,Yes,,No,Supportive,No,PC,No,Cautious,,Yes!,,Space,No,In-person,No,No,Yes,,,No,No,Yes,No,No,Yes,,Yes,No,No,No,,Rent,Pessimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,,Yes,No,Yes,No,79
